ZIP CODE,count
0,1
60605,3
60607,7
60608,117
60609,621
60610,8
60611,2
60612,143
60613,12
60614,24
60615,63
60616,28
60617,735
60618,95
60619,752
60620,685
60621,675
60622,52
60623,241
60624,313
60625,37
60626,10
60628,1065
60629,354
60630,29
60631,8
60632,221
60633,50
60634,72
60636,1100
60637,390
60638,68
60639,94
60640,17
60641,67
60642,9
60643,323
60644,210
60645,9
60646,12
60647,98
60649,248
60651,261
60652,129
60653,94
60655,26
60656,12
60657,19
60659,17
60660,13
60707,20
60827,27
