ZIP CODE,count
0,1
60605,2
60607,1
60608,61
60609,317
60610,4
60611,2
60612,82
60613,3
60614,15
60615,39
60616,14
60617,457
60618,56
60619,400
60620,337
60621,334
60622,24
60623,135
60624,171
60625,25
60626,9
60628,585
60629,185
60630,22
60631,6
60632,126
60633,30
60634,50
60636,586
60637,208
60638,33
60639,65
60640,10
60641,46
60642,4
60643,160
60644,119
60645,6
60646,5
60647,64
60649,151
60651,158
60652,57
60653,56
60655,6
60656,10
60657,13
60659,8
60660,7
60707,13
60827,6
