,index,SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location
6014,53875,Vacant/Abandoned Building,16-02866397,2016-04-27,Garage,,Open,REAR,Vacant,false,false,8051,S,YATES,BLVD,60617,1193588.80551385,1852034.41848306,7,4,46,41.748930261538895,-87.56618601067885,"(41.748930261538895, -87.56618601067885)"
6015,53876,Vacant/Abandoned Building,16-02765478,2016-04-23,Front,,Open,,Vacant,false,false,7857,S,COLES,AVE,60649,1197580.71251479,1853617.74199924,7,4,43,41.753176416863774,-87.5515057649966,"(41.753176416863774, -87.5515057649966)"
6016,53877,Vacant/Abandoned Building,16-02814903,2016-04-25,Garage,,Open,SIDE WINDOW,Vacant,false,true,3515,W,78TH,PL,60652,1154321.98328786,1852324.72008872,18,8,70,41.75059752407837,-87.71006716357074,"(41.75059752407837, -87.71006716357074)"
6017,53878,Vacant/Abandoned Building,16-02705492,2016-04-21,Rear,,Boarded,REAR,Vacant,false,true,8033,S,COLFAX,AVE,60617,1194911.95853126,1852058.49107114,7,4,46,41.74896384375416,-87.56133678808831,"(41.74896384375416, -87.56133678808831)"
6018,53879,Vacant/Abandoned Building,16-02618491,2016-04-18,Front,,Open,FRONT,Vacant,false,true,7916,S,MUSKEGON,AVE,60617,1196546.42007878,1853028.53716963,7,4,46,41.75158532457764,-87.55531549142196,"(41.75158532457764, -87.55531549142196)"
6019,53880,Vacant/Abandoned Building,16-02618699,2016-04-18,Front,,Open,,Vacant,false,true,7935,S,COLES,AVE,60617,1198202.99546725,1852829.11991775,7,4,46,41.75099684274392,-87.54925172660792,"(41.75099684274392, -87.54925172660792)"
6020,53881,Vacant/Abandoned Building,16-02638160,2016-04-18,Front,,Boarded,GARAGE HAZARDOUS - ROOF HAS COLLAPSED,Vacant,false,false,2804,E,77TH,PL,60649,1196642.20102308,1854116.30083338,7,4,43,41.754567850170815,-87.55492844321047,"(41.754567850170815, -87.55492844321047)"
6021,53882,Vacant/Abandoned Building,16-02449712,2016-04-12,Front,,Open,FRONT AND REAR YARD,Vacant,false,false,8208,S,MANISTEE,AVE,60617,1195927.1877918,1851077.1001855,7,4,46,41.746245775186644,-87.55764910283328,"(41.746245775186644, -87.55764910283328)"
6022,53883,Vacant/Abandoned Building,16-02488483,2016-04-13,Front,,Open,REAR,Vacant,false,false,3917,W,FLOURNOY,ST,60624,1150377.00512576,1896741.91906986,24,11,26,41.8725621859082,-87.7233683273151,"(41.8725621859082, -87.7233683273151)"
6023,53884,Vacant/Abandoned Building,16-02348270,2016-04-07,Garage,,Open,GARAGE PANEL,Vacant,false,false,7622,S,HOYNE,AVE,60620,1163686.13986985,1854094.76452533,18,6,71,41.75526351620107,-87.67570269565189,"(41.75526351620107, -87.67570269565189)"
